Date,Open,High,Low,Close,Volume,MA20,MA60,RSI
2026-06-01 04:00:00,45.8,48.08,45.655,46.88,50422431.644758,,,
2026-06-02 04:00:00,48.76,51.4,48.56,50.17,54883660.450265,,,
2026-06-03 04:00:00,49.47,50.02,45.66,47.42,51041858.209664,,,
2026-06-04 04:00:00,45.235,47.84,45.21,46.9,32738391.092946,,,
2026-06-05 04:00:00,45.0,45.2599,41.0401,41.64,49259573.49584,,,
2026-06-08 04:00:00,43.81,44.735,42.18,43.99,31631051.342325,,,
2026-06-09 04:00:00,44.9,44.95,38.04,40.64,51851076.718274,,,
2026-06-10 04:00:00,35.6,36.51,29.14,29.27,191345438.588767,,,
2026-06-11 04:00:00,29.3,32.05,28.61,31.97,251249179.605167,,,
2026-06-12 04:00:00,30.76,31.81,29.45,30.46,84854716.314785,,,
2026-06-15 04:00:00,31.73,32.07,30.722,30.85,61776822.990251,,,
2026-06-16 04:00:00,30.69,30.75,29.12,29.22,54280797.807964,,,
2026-06-17 04:00:00,29.765,29.84,27.71,27.78,53631218.793211,,,
2026-06-18 04:00:00,28.44,30.91,28.28,30.66,68325332.569789,,,
2026-06-22 04:00:00,32.3298,36.8,32.27,35.46,128512315.489748,,,37.093128390596746
2026-06-23 04:00:00,33.25,34.41,32.805,33.32,60658831.075579,,,30.447899744720345
2026-06-24 04:00:00,33.45,33.98,31.3901,32.45,51833508.922555,,,31.83693278330503
2026-06-25 04:00:00,33.34,33.68,31.3594,31.68,46185585.958213,,,31.64495899662326
2026-06-26 04:00:00,30.965,31.71,30.28,30.63,48554539.924206,,,35.221476510067106
2026-06-29 04:00:00,31.0,31.22,27.75,28.15,91157911.644164,35.977,,28.81219903691813
