Date,Close/Last,Volume,Open,High,Low
06/18/2026,740.62,50154600,737.20,741.82,732.51
06/17/2026,722.51,51669320,735.19,735.68,720.85
06/16/2026,729.86,45348680,742.25,744.22,729.64
06/15/2026,744.00,46710220,738.10,744.7599,737.38
06/12/2026,721.34,51236020,717.61,724.01,711.28
06/11/2026,717.12,71798860,699.29,718.3721,695.00
06/10/2026,693.69,65334280,701.66,711.28,692.93
06/09/2026,707.83,91932170,722.98,725.66,686.37
06/08/2026,716.07,47401450,717.81,723.03,713.07
06/05/2026,705.06,99606570,730.06,731.69,704.32
06/04/2026,740.61,40782580,735.48,743.4988,732.62
06/03/2026,744.21,40270200,747.31,748.65,741.01
06/02/2026,746.16,30085240,742.40,746.44,739.23
06/01/2026,742.74,33890560,737.04,745.65,735.99
05/29/2026,738.31,37541670,737.84,741.63,735.25
05/28/2026,735.60,32839950,729.73,736.60,726.41
05/27/2026,729.45,35148670,732.96,733.32,725.44
05/26/2026,730.28,34254690,725.96,731.17,724.16
05/22/2026,717.54,33118580,718.07,722.12,715.95
05/21/2026,714.51,36415360,708.99,717.12,706.77
05/20/2026,713.15,36779220,705.29,713.15,703.79
05/19/2026,701.53,46827530,699.81,706.49,695.25
05/18/2026,705.88,49834550,711.54,712.07,698.85
05/15/2026,708.93,51792660,710.14,715.13,705.55
05/14/2026,719.79,33327550,714.62,722.03,714.22
05/13/2026,714.71,40012530,709.96,716.65,704.83
05/12/2026,707.24,45873010,708.22,710.18,696.64
05/11/2026,713.29,36019150,710.36,714.59,708.91
05/08/2026,711.23,44320420,699.92,711.23,699.50
05/07/2026,694.94,43779090,696.58,701.24,691.77
05/06/2026,695.77,38778490,687.78,695.93,686.48
05/05/2026,681.61,37101060,677.96,682.7734,677.51
05/04/2026,672.88,34541990,674.66,676.73,668.90
05/01/2026,674.15,39172610,669.16,675.97,668.80
04/30/2026,667.74,40622230,665.35,668.90,657.56
04/29/2026,661.57,31724860,658.63,661.72,656.5899
04/28/2026,657.55,34147920,657.41,659.64,653.81
04/27/2026,664.23,32717030,663.40,664.43,660.69
04/24/2026,663.88,45563050,658.51,664.51,656.5301
04/23/2026,651.42,40099830,653.55,656.92,645.52
04/22/2026,655.11,37368400,650.15,655.33,648.52
04/21/2026,644.33,39580520,648.41,650.20,642.21
04/20/2026,646.79,37138510,648.04,648.76,642.52
04/17/2026,648.85,53488870,645.59,650.00,644.07
04/16/2026,640.47,42320580,639.21,642.18,635.255
04/15/2026,637.40,50102390,629.08,637.83,628.20
04/14/2026,628.60,49921080,620.22,628.60,620.10
04/13/2026,617.39,32972110,609.48,626.74,608.11
04/10/2026,611.07,34038530,611.84,613.67,609.58
04/09/2026,610.19,37837540,605.93,610.50,603.03
04/08/2026,606.09,63086000,608.71,609.90,602.12
04/07/2026,588.59,49948200,585.64,588.98,578.4001
04/06/2026,588.50,35108500,586.23,590.61,584.69
